Z1,Z2,Z3,Z4
-0.3810596885498857,0.30203302605275806,0.24263433929529815,-0.7319924202404007
-0.360208134135183,0.3479262017492877,0.2622857741280504,-0.6796913668099749
-0.3777723967267004,0.299956220970046,0.20699882436279504,-0.7409886453936048
-0.6424468755696139,0.609299495833251,-0.3640815650160469,-0.1557138631028088
-0.30293644568276684,0.9529906169985097,0.006149298261930887,-3.64194723069999e-05
-0.16827870242377055,-0.21866313700557682,0.1002079383516972,-0.603589575174952
0.9982434585755108,0.05924464844463489,0.0002472631829235376,-7.189386946521814e-05
0.04966115402143235,-0.8545673362157518,0.49770693040450475,-0.09578660142604492
-0.12718728195780102,-0.6802490192896358,0.43091700373420555,-0.29570932660453436
-0.038538679012613854,-0.6719837943086885,-0.18834402896762908,-0.4731019910219468
0.3448311719688755,0.27151817500790487,0.032548805650446815,-0.3549494176023374
-0.15637346941123242,-0.8765236405655902,0.23489268422034892,-0.28363299247596185
0.06601296352285964,-0.8046718782328527,0.5866351517447255,0.04689598072551774
-0.10184963638845203,-0.30159843644961376,-0.21034915537380705,0.38944534680447873
