id,PredValue,TrueValue,APE_test,MAE_test,MSE_test,RMSE_test,MAE_train,MSE_train,RMSE_train,R2_train
1,0.45761424631662834,0.386839836,0.1829553311997277,0.07077441031662834,0.005009017155666469,0.07077441031662834,0.13575121715006663,0.02857637099412219,0.16904547019699223,0.6452649852147871
2,0.557429642646108,0.619998353,0.1009175428469114,0.062568710353892,0.0039148435153492315,0.062568710353892,0.1350587966425765,0.03019181506678705,0.17375792087495479,0.5657854339100423
3,0.5383464264518737,0.45875102100000004,0.17350458485818532,0.07959540545187366,0.006335428569048159,0.07959540545187366,0.13037231865325893,0.02779040429099452,0.16670454190271639,0.6890335814655639
4,0.5070444770242724,0.593992141,0.14637847536054796,0.08694766397572762,0.007559896270836042,0.08694766397572762,0.1262841660265889,0.026863832306107862,0.16390189842130523,0.6485404043955145
5,0.4692723891047371,0.555991594,0.1559721510740374,0.08671920489526286,0.007520220497666582,0.08671920489526286,0.13414298162243057,0.026248755021367788,0.1620146753271684,0.6873673689257569
6,0.4374951540000737,0.339529122,0.2885349905274803,0.0979660320000737,0.009597343425839464,0.0979660320000737,0.14675974922369078,0.03019036861280023,0.17375375855733374,0.5613153600784693
7,0.3976049288133066,0.404602664,0.017295326524823344,0.006997735186693388,4.8968297743086746e-05,0.006997735186693388,0.14904482775765554,0.03285545340977267,0.18126073322640143,0.6076784819277354
8,0.4282904137440283,0.429150133,0.0020033065117835334,0.0008597192559716693,7.391171990884807e-07,0.0008597192559716693,0.1504029574150278,0.03289289239620513,0.18136397766978185,0.6221811083993112
9,0.4938535494757003,0.516923354,0.0446290622116092,0.023069804524299686,0.0005322158807893983,0.023069804524299686,0.15066881606418872,0.03278824717358735,0.18107525279172565,0.6296214703943362
10,0.4267951514779889,0.5068044939999999,0.15787023096525865,0.08000934252201103,0.006401494890804482,0.08000934252201103,0.12856060938868488,0.027686798462429933,0.16639350486851923,0.6895568722657948
11,0.4244261942011561,0.43114272299999995,0.015578434797898293,0.006716528798843824,4.511175910569846e-05,0.006716528798843824,0.1496856631624151,0.03287001325772973,0.18130089149733855,0.6233666332715879
12,0.6099496351092871,0.492375885,0.23878860377024172,0.11757375010928711,0.013823586714761091,0.11757375010928711,0.12637091914738854,0.024444940575815383,0.15634877861951907,0.7276350018898523
13,0.7830138440628799,0.573258824,0.36589933077572645,0.20975502006287994,0.043997168441579165,0.20975502006287994,0.14720833467806174,0.031973517678299965,0.1788114025399386,0.6048648744400515
14,0.47132653260446006,0.42420180700000004,0.11109034621453183,0.047124725604460016,0.0022207397632956496,0.047124725604460016,0.13689934156902736,0.031038717742162367,0.17617808530621046,0.6411464028978073
