id,PredValue,TrueValue,APE_test,MAE_test,MSE_test,RMSE_test,MAE_train,MSE_train,RMSE_train,R2_train
1,0.4942128449975038,0.386839836,0.2775645086291056,0.1073730089975038,0.011528963061178031,0.1073730089975038,0.09934163006318604,0.00987546572655101,0.09937537786872064,0.8774101343645246
2,0.512926438094213,0.619998353,0.17269709570629607,0.10707191490578694,0.011464394961592078,0.10707191490578694,0.089351744951063,0.00849306956171274,0.09215785132973066,0.8778538320285434
3,0.5409803384211803,0.45875102100000004,0.17924606956063924,0.08222931742118028,0.006761660643553223,0.08222931742118028,0.09189955380004856,0.009004416021820054,0.09489160142931541,0.8992432433879043
4,0.5292875006448889,0.593992141,0.1089318122057629,0.06470464035511103,0.004186690483484263,0.06470464035511103,0.09383164855213316,0.009269822886123968,0.0962799194335141,0.8787228804230739
5,0.43207875586211997,0.555991594,0.22286818627311838,0.12391283813788001,0.01535439145538445,0.12391283813788001,0.0978750498212738,0.009636946755675264,0.0981679517748805,0.8852203078852098
6,0.49657008976548456,0.339529122,0.4625257675701954,0.15704096776548454,0.024661865556719953,0.15704096776548454,0.08681355883450512,0.00823364543314662,0.0907394370334455,0.8803600635551676
7,0.39996359018398664,0.404602664,0.011465752029782388,0.0046390738160133616,2.1521005870420774e-05,0.0046390738160133616,0.09927382702057677,0.009862782125211978,0.09931154074533322,0.8822301549907013
8,0.4770471745289854,0.429150133,0.11160905670507013,0.047897041528985385,0.0022941265872293507,0.047897041528985385,0.09178832949737027,0.009006558741465278,0.09490289111225894,0.8965476188640226
9,0.4780191377249943,0.516923354,0.07526109233402072,0.038904216275005676,0.0015135380439724165,0.038904216275005676,0.09332659397197497,0.00916078930387739,0.09571201232801131,0.8965190284666816
10,0.48161040559581975,0.5068044939999999,0.049711651539104534,0.025194088404180193,0.0006347420905176469,0.025194088404180193,0.09363629251212825,0.009263124612290412,0.09624512773273466,0.8961355759087377
11,0.46452624299477535,0.43114272299999995,0.07743032228976159,0.0333835199947754,0.001114459407241569,0.0333835199947754,0.09262629639139937,0.009075540120958769,0.09526562927393473,0.8960100440533997
12,0.5352989359678466,0.492375885,0.08717537205918725,0.0429230509678466,0.001842388304388357,0.0429230509678466,0.09246444231493463,0.009069015225634509,0.09523137731669383,0.898953228905182
13,0.47011993117563616,0.573258824,0.17991679936943072,0.10313889282436378,0.0106376312130356,0.10313889282436378,0.09396475874364144,0.009118317987560774,0.09548988421587269,0.8873140028206639
14,0.4801749884722966,0.42420180700000004,0.13194941782107159,0.055973181472296574,0.0031329970441306442,0.055973181472296574,0.09271046204199476,0.008983291886523028,0.09478022940741929,0.8961398265844358
